Nido,Fecha,Hora,Dato,Sexo,Accion,Item
Grallaria_rufula_W4_SDR11,2014/11/30,10:13:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,10:17:18,on,both,f,oruga verde
Grallaria_rufula_W4_SDR11,2014/11/30,10:18:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,10:46:00,on,both,f,lombriz
Grallaria_rufula_W4_SDR11,2014/11/30,10:48:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,10:51:00,on,x,br,lombriz
Grallaria_rufula_W4_SDR11,2014/11/30,10:52:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,11:30:00,on,x,br,lombriz
Grallaria_rufula_W4_SDR11,2014/11/30,11:31:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,11:36:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,11:38:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,11:50:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,12:28:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,12:38:29,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,12:39:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:16:00,on,both,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:17:01,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:23:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:23:16,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:25:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:26:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:31:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:32:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:32:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:38:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:38:05,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,13:38:42,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,14:04:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,14:04:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,14:05:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,14:34:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,14:35:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,14:35:14,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,15:15:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,15:30:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,15:49:00,on,x,f,lombriz
Grallaria_rufula_W4_SDR11,2014/11/30,15:50:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,15:51:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,16:08:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,16:29:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,16:29:24,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,16:41:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,16:41:20,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,17:10:59,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,17:11:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,17:12:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,17:20:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/11/30,17:38:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,17:40:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,18:00:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,18:01:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/11/30,18:12:00,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/11/30,18:58:00,on,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/11/30,19:20:42,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/11/30,19:20:49,on,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/11/30,4:44:10,off,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/12/1,4:30:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,4:54:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:07:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:08:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:11:18,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:11:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:12:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:27:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:39:19,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:39:24,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:50:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:50:25,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:54:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:56:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:56:27,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,5:57:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:00:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:00:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:01:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:07:43,on,both,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:09:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:17:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:24:59,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:25:20,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:26:04,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:36:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,6:57:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,7:13:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,7:13:27,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,7:13:28,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,7:31:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,7:40:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,7:40:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,7:41:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,7:44:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,8:34:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,8:34:25,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,8:34:26,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,8:56:26,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,9:09:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,9:10:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,9:12:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,9:13:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,9:28:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,9:29:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,9:41:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,9:41:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,9:42:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,10:08:00,on,x,f,lombriz
Grallaria_rufula_W4_SDR11,2014/12/1,10:08:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,10:09:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,10:12:10,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,10:12:53,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,10:22:15,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,10:22:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,10:23:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,10:41:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,11:16:30,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,11:16:47,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,11:31:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,11:31:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,11:32:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,11:53:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:01:40,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:03:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:07:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:08:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:16:08,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:16:41,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:19:13,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:19:53,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:35:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:35:13,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:36:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:36:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:37:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:44:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:44:34,on,x,f,oruga
Grallaria_rufula_W4_SDR11,2014/12/1,12:45:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,12:46:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:00:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:10:37,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:11:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:12:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:16:16,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:17:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:18:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:20:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:26:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:26:19,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:26:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:27:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:39:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:49:06,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:49:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,13:50:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,14:14:21,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,14:28:15,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,14:28:49,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,14:28:50,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,14:32:53,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:00:08,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:01:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:03:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:03:15,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:23:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:31:20,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:31:27,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:32:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:55:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:57:30,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:57:52,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,15:59:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,16:24:35,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,16:25:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,16:26:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,16:30:16,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,16:30:26,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,16:30:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,16:31:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,16:53:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/1,16:57:45,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,16:59:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,17:09:10,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,17:10:02,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,17:17:00,on,x,f,saco shit
Grallaria_rufula_W4_SDR11,2014/12/1,17:18:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,17:37:20,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,17:38:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,18:04:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,18:04:19,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/1,18:14:00,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/1,18:54:00,on,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/12/1,19:07:21,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/1,19:07:53,on,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/12/1,19:08:38,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/1,19:08:45,on,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/12/1,19:51:00,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/1,19:53:00,on,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/12/1,20:12:00,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/1,20:13:00,on,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/12/1,20:23:00,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/1,20:25:00,on,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/12/1,22:15:09,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/1,22:19:00,on,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/12/1,22:29:57,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/1,22:31:00,on,x,brn,bola
Grallaria_rufula_W4_SDR11,2014/12/2,3:59:00,on,x,brn,x
Grallaria_rufula_W4_SDR11,2014/12/2,4:30:00,on,x,br,bola
Grallaria_rufula_W4_SDR11,2014/12/2,4:48:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,4:57:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,5:06:10,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,5:06:30,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,5:23:00,on,x,f,grillo
Grallaria_rufula_W4_SDR11,2014/12/2,5:23:59,on,x,f,grillo
Grallaria_rufula_W4_SDR11,2014/12/2,5:24:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,5:39:30,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,5:50:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,5:50:25,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,5:53:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,5:54:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,6:04:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,6:04:13,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,6:19:40,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,6:20:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,6:25:06,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,6:25:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,6:26:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,6:51:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,7:18:19,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,7:19:00,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,7:21:18,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,7:21:30,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,7:34:20,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,7:34:33,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,7:54:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,7:54:13,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,8:01:20,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,8:01:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,8:02:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,8:40:24,on,both,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,8:41:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,8:45:40,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,8:45:57,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,8:59:03,on,x,f,grillo
Grallaria_rufula_W4_SDR11,2014/12/2,9:00:00,off,x,f,grillo
Grallaria_rufula_W4_SDR11,2014/12/2,9:01:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,9:14:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,9:29:37,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,9:30:09,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,9:47:55,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,10:03:00,on,both,f,larva escarabajo
Grallaria_rufula_W4_SDR11,2014/12/2,10:03:59,off,both,f,larva escarabajo
Grallaria_rufula_W4_SDR11,2014/12/2,10:12:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,10:18:00,on,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,10:18:59,off,x,f,x
Grallaria_rufula_W4_SDR11,2014/12/2,10:19:00,on,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,10:43:00,off,x,br,x
Grallaria_rufula_W4_SDR11,2014/12/2,11:00:00,on,x,br,x
